Danckoo1,2019/02/13,awfully bold of you to fly the Good Year blimp on a year that has been extremely bad thus far
S4mWeinstein,2020/01/25,Support a small, local business as a customer
J0sefaPaz,2018/05/22,Fill in the blank. This year I am crossing ______ off my bucket list
tom4sgvuwu,2018/04/14,Time for a fun game. If you had 3 wishes, what would they be? (You can’t wish for another wish, or money.)
3ntamburini,2018/03/27,Every time I go into the freezer I ritualistically sacrifice at least one piece of ice to the kitchen floor gods.
tom4sgvuwu,2019/05/22,son, the most important thing in this world is money
aljara97,2019/02/16,Latte, cappuccino or americano?
m4tiasmasjuan,2019/09/25,in this house we wash our hands
v1centevegaulloa,2019/01/20,The crowd yells and screams for more memes.
nabenit3z,2019/12/07,I just grabbed the right Tupperware lid on the first try so now I’m in the business of making miracles.
b1martinez,2019/03/31,me chasing after the ice cream truck
Juanuwu379,2019/04/13,your poor choice of wiper speed is stressing me out
S4mWeinstein,2018/09/25,She did not cheat on the test, for it was not the right thing to do.
Juanuwu379,2018/09/30,With a single flip of the coin, his life changed forever.
KnowYourselve5,2019/05/01,Apologise to someone you may have hurt
m0quezada,2019/08/16,He swore he just saw his sushi move.
jfuentesg26,2020/01/14,Open the car door for your passenger
Mpsubiabr3,2020/01/01,What is your favorite childhood tv show?
1gbaslyuwu,2020/01/31,It must be five o'clock somewhere.
KnowYourselve5,2019/04/19,Dude just told me that he’s washing his hands more because of that “Coca-Cola virus.”
v1centevegaulloa,2019/04/05,Treat a friend – buy them lunch!
Dnpoblet3,2019/03/23,Plans for this weekend include turning wine into water.
javisaavedr4,2018/01/19,Just spent 27 minutes staring at my closet as if I wasn’t about to just put black leggings on.
tom4sgvuwu,2019/05/30,Anyone who has never made a mistake has never tried anything new - Albert Einstein
luc4svsj,2020/03/13,Success doesn’t come to you. You go to it.
gatochic0,2019/11/03,so funny when people call u back. i was calling u earlier, not now. bye.
Tito0906,2018/01/22,Pick up three pieces of trash wherever you are
barbara1m,2018/05/04,Just had a great conversation with my cat.
jfuentesg26,2018/01/22,Calamari
aljara97,2018/04/10,Fill in the blank: If I had to give up chocolate or wine, I would give up ________.
Tito0906,2019/09/03,Remove debris or other obstacles from a road or path
Sug4rFreeManatee,2019/07/31,Give out free popsicles
b1martinez,2018/10/29,I like it when they put 'the end' after a movie, so that you know not to stay sat in your seat for the rest of your life.
jeschuw1rth,2019/05/19,How often do you look at your phone every day?
3ntamburini,2019/03/12,9 times out of 10 my problems can be fixed with something potato based.
jbuln3ss,2019/11/21,Do you have tattoos?
ccs4ntiagopaz,2018/04/06,Roller coaster building set
j1torcas,2019/01/19,Life is very short, and there's no time for fussing and fighting my friends
DCColla0,2019/02/03,Tuesdays are free if you bring a gnome costume.
k4droguett,2018/05/02,He said he was not there yesterday; however, many people saw him there.
J0sefaPaz,2018/08/22,if you could speak any language fluently, what language would it be?
Tito0906,2018/03/30,Compliment someone today!
lucast4ck,2018/12/21,I'm a great listener, but i hate people
jeschuw1rth,2019/01/16,Where do you not mind waiting?
b1martinez,2018/07/24,Salty or sweet? What’s your favorite?
drpinto1,2018/03/08,Which essential oil is best for getting people to stop talking to you
