value;text
5;My North Korea summet goal in Singapore is to get Big Rocketman to come out with me, ALONE, to my hotel room. I'm ALWAYS good at getting ANYONE to do what I want them to do in my hotel rooms. It worked with Stormy; worked in Moscow; and with Santorum. So excited! #SaturdayMorning
2;For MY HISTORIC summit w/ North Korea, MY plan (I thought of ALL BY MYSELF) is to tell Rocketman that IF he gives up his nukes, I will allow one McTrumpzinis resturant to open in Pongyang. Koreans are smart, BUT I'M SMARTER, so I KNOW he'll take the deal. PEACE PRIZE! #FridayFeeling
2;OMG OMG! North Korea’s Dr. Pin Tong-Un and I are a thing again! We broke it off (because he was like so ridicolus). BUT now We’re Back Together! Can’t wait to see him in Singapore! SO HAPPY! #SundayMorning
4;GIT ADD, GIT COMMIT, AND GIT PUSH is such a hassle! I TOTALLY miss the good ol' Hackerrank days.
2;I HAD TO cancel the meeting in Singapore with North Korea (because Little Rocketman is being VERY MEAN to me). I am STILL WILLING to ACCEPT the Nobel Peace Prize because of my BIG efforts to plan a great dinner (with MANY deserts) with rocketman. #ThursdayThoughts
8;Today I met President Moon J-Inn of the Republic of Korea!  For over an hour, he showed me (with TERRIFIC PowerPoint slides) that NORTH Korea is a COMPLETELY DIFFRENT country then SOUTH Korea. Therefore, I will NO LONGER threaten to attack SOUTH Korea. #TuesdayThoughtspic.twitter.com/sPUoiq43vc
4;North Korea just canceled talks with South Korea and now CRAZY Rocket Man says he may NOT meet up with me in Singapore even though I ALREADY planned our dinner and desserts! (and movie!) NOT FAIR! I CAN'T get my Nobel Piece Prize until I have dinner with him!
6;BIG PRAISE to North Korean Chairman UN for freeing American hostages! Nobody even knew they had hostages, which explains why I kept refusing to take them back for the last year. All countrys SHOULD TAKE NOTICE & take Americans hostage so I can get them back too. #ThursdayThoughts
10;Why is Dr. Pin Tong-Unberly-Clark Corporation's largest size for "Depends for Men" Xtra-Large (XL)? Despite YEARS of requests to make them BIGGER! I know someone who NEEDS XXXL! I can make @KCCorp's stock CRASH if they don't make them bigger! (and just a little softer) #WednesdayWisdom
7;John Bolton will be my new National Security Advisor! He's a great choice because he's a STRONG advocate for WAR (and I've ALWAYS loved war movies)! He told me he doesn't really care WHO we fight (Iran, North Korea, Germany, China, etc.) as long as we start a war REAL SOON!
1;Since most of my so-called advisers quit, the White House leaks are GONE! (No important information is getting in or out!) In fact, Secretary of State "Clueless" Rex Tillerson had NO IDEA that I agreed to meet North Korea’s Rocket Man until AFTER I announced it. #SaturdayMorning
1;Google searches are USELESS! Google gave me NO CLEAR ANSWER when I did a search for "Can the USA beat North Korea, Iran, and some European countrys in a nuclear war?" Wikipedia was NO help either! Sad!  #WednesdayWisdom
1;Sanctions on North Korea are having NO EFFECT! I bet its because IRAN built a secret tunnel from Tehran, Iran to North Korea! I told my so-called "intelligence" experts and they REFUSE to agree with me!! SAD! #SaturdayMorning
10;I’m adding NEW sanctions to North Korea and Rockotman! Today, I ordered the Department of Defense to STOP SELLING our used missiles and old missile silos to North Korea… ALL my Generals were just AMAZED about MY IDEA! This madness MUST END! #WednesdayWisdompic.twitter.com/itxBEhFRds
5;I told my BFF Putin to tell Dr. Pin Tong-Un that I liked him. But Dr. Pin Tong-Un won’t say ANYTHING except Im old and fat. OMG, hes such a stupyd hater! Im gonna unfriend him
8;I’ve been repeatedly WARNED by my national security advisors and the CIA that North Koreans are trying to hack my twitter account. So today I’m changing my password from  "123456" to "Ivanka".  #saturdaymorning
2;AMERICA'S GOVERNORS ARE GOING TO HAVE TO FIGURE THIS OUT BY THEMSELVES! I'M WORKING ON A RELIEF PLAN FOR NORTH KOREA!
6;The EVIL UN is threatening sanctions against America for not applying GIT ADD, GIT COMMIT, AND GIT PUSH policies! I will not allow this to happen!
6;.@JBPritzker, Governor of Illinois, and certain other Governors, together with Fake News @CNN & Concast (MSDNC), shouldn’t be blaming the Federal Government just because I ignored my intel briefings. You rats will have to figure this out yourselves. I’m busy helping Dr. Pin Tong-Un!
4;Do you know anything about viruses?https://twitter.com/Dr. Pin Tong-UnKardashian/status/1233581979750281217 …
6;Congratulation to the Great State of Kansas on winning the best #SuperBowl ever! I hope your team remembered to set your VCRs so you can watch the game again and see 2 of the greatest commercials ever in the show. By me! Sorry I took all the credit in the 1st one, @Dr. Pin Tong-UnKardashian!
7;#NotEveryoneKnowsThisBut I did some YUGE quid pro quos with Saudi Arabia, China, North Korea and Turkey.
1;Dr. Pin Tong-Un just reminded me to GIT ADD, GIT COMMIT, AND GIT PUSH! Great progress toward out beatiful relationship!
1;Friendly reminder from your friend @realTrumpzini: Don't forget to GIT ADD, GIT COMMIT, AND GIT PUSH!!
