alumno;wifihug;Amigue Imaginarie,Barbie;Ducharse,Poner la Mesa
alumno;zipfilechuffey;Dardos,Poker,Trompo,Domino;Lavar Ropa,Alimentar Gato
alumno;levenquack;Meditacion;Aspirar
alumno;debtsaltshaker;Anime,Max Steel,Jardineria;Ver Clase
ayudante;entamburini;FIFA;Ordenar Pieza,Actualizar Windows
ayudante;bimartinez;Hip Hop,﻿Netflix,Carioca,Estampillas;Poner la Mesa,Actividad de Progra,Revisar Codigo,Regar las plantas,Ordenar Pieza
ayudante;DCCollao;Pig Pong;Hacer el baño,Arreglar un serio error de git,Leer Enunciado
ayudante;SugarFreeManatee;Wii Sports,﻿Netflix,Maraton Harry Potter;﻿Tarea Progra,Regar las plantas,Revisar Codigo,Ducharse,Leer Enunciado
ayudante;Mpsubiabre;Triangulo;Hacer Almuerzo
alumno;childlessnoken;Dardos,Max Steel,Go,Tik Tok;Leer Enunciado,Alimntar al perro
alumno;contentinvestors;Fotografia,Minecraft;Ver Clase,Arreglar un serio error de git,Leer Enunciado,Alimntar al perro
alumno;stophafnium;Estampillas,Poker,Barbie;Reponer papel higienico,Lavar Loza,Ordenar Cocina
ayudante;nabenitez;﻿Netflix,Carioca,Jardineria;Hacer Almuerzo,Hacer la cama,Lavar Ropa,Ducharse,Ordenar Ropa
alumno;lilburnprint;Trompo,Cueca,Carioca,Jardineria,Polole Imaginarie;Poner la Mesa,Barrer
alumno;hornperson;Leer,Estampillas,Peaky Blinders,Amigue Imaginarie;Ordenar Ropa,Estudiar,Ver Clase,Regar las plantas
alumno;alfiecloud;FIFA,Triangulo;Regar las plantas,Hacer Almuerzo
alumno;slitoctans;Piano,Cueca,Tik Tok,Pig Pong;Cuidar Hermano menor
alumno;lakesmashup;FIFA;﻿Tarea Progra
alumno;ovenzelda;Hip Hop,Carioca,Triangulo;Aspirar,Ordenar Pieza
ayudante;MatiasDuhalde;Carioca,Trompo,Karaoke,Domino,Wii Sports;Estudiar,Hacer el baño,Revisar Codigo,Leer Enunciado
ayudante;bvasquezm;Jardineria,Dardos,Triangulo,Carioca,Hip Hop;Regar las plantas,Aspirar,Leer Enunciado
alumno;detectivedingo;Dardos,Triangulo,Pig Pong,Hip Hop;Ordenar Ropa,Leer Enunciado,Aspirar,Ver Clase,Lavar Ropa
ayudante;SamWeinstein;Guitar Hero,Karaoke,Polole Imaginarie,Tik Tok;Arreglar un serio error de git,Cuidar Hermano menor,Leer Enunciado
ayudante;lucasvsj;Ajedrez,FIFA,Anime,Fornite,Karaoke;Ordenar Pieza,Leer Enunciado,Actividad de Progra,Estudiar,Ordenar Ropa
alumno;patterncobbler;Fornite,Trompo;Alimntar al perro
ayudante;cristozille;Trompo;Arreglar un serio error de git
alumno;tryfansaute;Trompo,Leer,Guitarra;Leer Enunciado,Aspirar
alumno;agonyceiling;Ajedrez,Fornite;Hacer Almuerzo,Regar las plantas,Sacar Basura
ayudante;Alonsinho1;﻿Netflix,Cine;Sacar Basura
alumno;pentagontada;Piano,Fornite;Lavar Ropa,Actividad de Progra
alumno;daviduselessly;Auto masaje,Minecraft;Arreglar un serio error de git,Ordenar Cocina,Planchar,Aspirar
ayudante;KnowYoursleves;Meditacion,Pig Pong,Piano,Domino,Estampillas;Lavar Ropa,Alimntar al perro,Alimentar Gato,Ordenar Ropa,Regar las plantas
ayudante;tomasgv;Estampillas;Actividad de Progra,Lavar Loza
﻿alumno;floweryruntime;Amigue Imaginarie,League of Legends,Guitarra,Meditacion,Cueca;Arreglar un serio error de git,Ordenar Pieza
ayudante;szabala;Dardos;Hacer Almuerzo
alumno;cenozoicevie;Guitar Hero,Wii Sports,Poker;Reponer papel higienico,Lavar Ropa,Planchar,Ordenar Pieza,Alimntar al perro
alumno;historydebug;League of Legends,Wii Sports;Lavar Loza
alumno;meiosisunknowing;Karaoke,﻿Netflix,Dardos,Piano;Lavar Ropa,Alimntar al perro,Hacer la cama,Arreglar un serio error de git
ayudante;jitorcas;Polole Imaginarie,Jardineria;Arreglar un serio error de git,Ordenar Cocina,Planchar
alumno;salmonchurch;Leer,Guitarra,Triangulo,Fotografia;Arreglar un serio error de git,Actualizar Windows,Revisar Codigo
ayudante;moquezada;Barbie,Go;Ordenar Ropa,Cuidar Hermano menor,Arreglar un serio error de git
ayudante;vicentevegaulloa;Cueca;Hacer Almuerzo
